technique,context_length,model,cache_size,rerank,cite,rag_nq,rag_hotpotqa,niah,recall_jsonkv,summ_multilex,icl_clinic,icl_banking
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k5_avgpool,,33.524416,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c4096_k5_avgpool,,22.499902976,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k5_avgpool,,21.43644416,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c256_k5_avgpool,,20.489682432,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c128_k5_avgpool,,20.424375296,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c1024_k5_avgpool,,22.153847808,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_avgpool,,,,,,,,20.148372992,20.246098944
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c64_k5_avgpool,,20.380360192,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c128_k5_avgpool,,20.423308288,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k5_avgpool,,21.442725888,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_avgpool,23.67538432,21.441613824,21.441663488,21.468858368,21.018471424,23.16122368,,20.95730944,21.056299008
pyramidkv,16k,Qwen3-8B,w2048_c8192_k7_avgpool,35.431793152,35.31980032,36.426097664,35.53208064,33.334333952,34.570136576,33.634345472,34.021466624,33.816861696
pyramidkv,16k,Qwen3-8B,w256_c2048_k7_avgpool,22.4167168,22.384092672,22.776582144,22.442830848,21.707433472,22.118349824,21.806831104,21.982610432,21.922330112
pyramidkv,16k,Yarn-Qwen3-8B,w8192_c32768_k7_avgpool,,,,,28.585047552,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w2048_c16384_k7_avgpool,,,,,28.585047552,,,,
