technique,context_length,model,cache_size,niah,rag_hotpotqa,rag_nq,cite_str_em,cite_citation_rec,cite_citation_prec,recall_jsonkv,rerank,summ_multilex,icl_clinic,icl_banking
INT8,32k,Yarn-Qwen3-8B,default,100.0,55.666666666666664,60.5,50.73333333333333,16.644284362867953,29.707917899094372,100.0,32.379341463414626,0.0459846082542815,95.19999999999999,87.6
minference,16k,Qwen2.5-7B-Instruct,default,100.0,60.333333333333336,53.166666666666664,36.71666666666667,40.400396825396825,33.06219336219336,96.0,47.168008130081304,0.39881462309296817,87.8,82.39999999999999
minference,16k,Llama-3.1-8B-Instruct,default,100.0,66.66666666666666,64.33333333333333,42.88333333333334,41.18614996114996,32.91889661765823,99.0,52.40812195121951,0.41386319565486424,88.6,81.8
minference,32k,Qwen2.5-7B-Instruct,default,99.0,65.66666666666666,62.16666666666667,27.766666666666666,10.319696969696968,15.93102453102453,98.0,31.25417073170732,0.3293944208475771,,81.6
minference,32k,Llama-3.1-8B-Instruct,default,100.0,63.33333333333333,61.83333333333333,30.85,10.180555555555555,9.602380952380953,100.0,42.57930894308943,0.4479695627861393,,85.39999999999999
streamingllm_original,16k,Qwen2.5-7B-Instruct,default,100.0,69.0,65.66666666666666,36.583333333333336,44.53095238095238,38.55715754833402,97.0,47.34121951219512,,,
streamingllm_original,16k,Llama-3.1-8B-Instruct,default,100.0,68.33333333333333,66.0,45.66666666666667,42.82175602175602,36.265812501338814,99.0,51.72991869918698,,,
streamingllm_original,32k,Qwen2.5-7B-Instruct,default,100.0,65.33333333333333,63.83333333333333,34.36666666666666,23.456623931623934,25.316286345233706,97.0,36.201878048780486,,,
streamingllm_original,32k,Llama-3.1-8B-Instruct,default,100.0,63.33333333333333,63.5,25.983333333333334,5.321428571428571,5.292277167277167,100.0,42.15405691056911,,,
duoattn,16k,Llama-3.1-8B-Instruct,sp0.5_pf32768,100.0,67.66666666666666,67.5,39.35,29.40811688311688,29.12666369578134,100.0,51.30171544715447,,87.8,81.2
duoattn,16k,DeepSeek-R1-Distill-Llama-8B,sp0.5_pf32768,99.0,60.333333333333336,60.5,41.233333333333334,5.41606395840142,17.79801587301587,100.0,44.57721138211382,,89.2,84.6
